village_name,pincode,post_so_name,taluka name,District_name,state name
Alampur,383315,"Kolikhad B.O,Modasa S.O",Modasa,Aravalli,Gujarat
Alampur,387620,"Vadali B.O,Kapadwanj S.O",Kapadvanj,Kheda,Gujarat
Alampur,391121,"Vandh B.O,Devaliya S.O",Tilakwada,Narmada,Gujarat
Alampura,382750,"Vanod B.O,Dasada S.O",Dasada,Surendranagar,Gujarat
Alampura,388260,"Debhari B.O,Birpur S.O (Kheda)",Virpur,Kheda,Gujarat
Alampura,388260,"Gandhari B.O,Birpur S.O (Kheda)",Virpur,Kheda,Gujarat
Alampura,393105,"Koral B.O,Bhalod S.O (Vadodara)",Karjan,Vadodara,Gujarat
Alana,383260,"Borditimba B.O,Akrund S.O",Bayad,Aravalli,Gujarat
Alanshi,389350,"Ujeti B.O,Halol S.O",Halol,Panchmahal,Gujarat
Alapar,364070,"Hathab B.O,Koliyak S.O",Bhavnagar,Bhavnagar,Gujarat
Alau,382255,"Alau B.O,Jalila S.O",Ranpur,Botad,Gujarat
Alawa,387620,"Alwa B.O,Kapadwanj S.O",Kapadvanj,Kheda,Gujarat
Albeta,389380,"Damavav B.O,Devgadh Baria S.O",Ghoghamba,Panchmahal,Gujarat
Aldar,392001,"Bharuch H.O,Bharuch H.O",Bharuch,Bharuch,Gujarat
Alela,388265,"Alela B.O,Pandva S.O",Balasinor,Mahisagar,Gujarat
Algat,394246,"Algat B.O,Sugar Factory Bamania S.O",Valod,Tapi,Gujarat
Algat,394246,"Algat B.O, Sugar Factory Bamania S.O",Mahuva,Surat,Gujarat
Alhabad,385340,"Allahabad B.O,Radhanpur S.O",Radhanpur,Patan,Gujarat
Alhadpura,390004,"Kelanpur B.O,Pratapnagar S.O (Vadodara)",Vadodara,Vadodara,Gujarat
Alhadpura,391135,"Alhadpura B.O,Bodeli S.O",Sankheda,Chhota Udaipur,Gujarat
Alidar,362720,"Aalidar B.O,Kodinar S.O",Kodinar,Gir Somnath,Gujarat
Alidhra,362260,"Alidhra B.O,Mendarda S.O",Mendarda,Junagadh,Gujarat
Alidhra,362268,"Amrapur B.O,Prabhas Patan S.O",Sutrapada,Gir Somnath,Gujarat
Aligadh,385001,"Palanpur H.O,Palanpur H.O",Palanpur,Banaskantha,Gujarat
Aligadh,385001,"Sadarpur B.O,Palanpur H.O",Palanpur,Banaskantha,Gujarat
Alindra,389330,"Madhvas B.O,Kalol S.O (Panch Mahals)",Kalol,Panchmahal,Gujarat
Alindra,389382,"Kanjeta B.O,Dhanpur S.O",Dhanpur,Dahod,Gujarat
Alindra,391775,"Lamdapura B.O,Tundav S.O",Savli,Vadodara,Gujarat
Aliudepur,365430,"Varsada B.O,Lathi S.O (Amreli)",Lathi,Amreli,Gujarat
Aliyaghoda,391120,"Namaria B.O,Tilakwada S.O",#N/A,#N/A,#N/A
Aljada,387320,"Arera B.O,Dabhan S.O",Nadiad,Kheda,Gujarat
All ind Area,389330,"Maghasar B.O,Kalol S.O (Panch Mahals)",Halol,Panchmahal,Gujarat
Allu,394620,"Allu B.O,Vankaner (SR) S.O",Bardoli,Surat,Gujarat
Almavadi,393130,"Almawadi B.O,Netrang S.O",Dediapada,Narmada,Gujarat
Aloda,384205,"Aloda B.O,Panchot S.O",Mahesana,Mehsana,Gujarat
Alsipur,391165,"Zoz B.O,Chhota-udepur S.O",Chhota Udaipur,Chhota Udaipur,Gujarat
Alu,389110,"Metral B.O,Mora S.O (Panch Mahals)",#N/A,#N/A,#N/A
Aluji Ni Vav,388265,"Bar B.O,Pandva S.O",Virpur,Kheda,Gujarat
Alura,394310,"Haldharu B.O,Gangadhara RS S.O",Kamrej,Surat,Gujarat
Alura,396436,"Mirzapore B.O,Maroli Bazar S.O",Jalalpore,Navsari,Gujarat
Alusna,382715,"Sadra B.O,Kadi S.O",Kadi,Mehsana,Gujarat
Aluva,382650,"Aluva B.O,Unava  Balva S.O",Kalol,Gandhinagar,Gujarat
